=> Scattering transform order 2, J 4
=> creating model 'scatteringlinear' oversampling 0
=> learning rate 0.01, lr thetas 0.0, 100 epochs, decay frequency 30
Epoch: [2][4800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.43 (5.42)	Acc@1 7.4 (10.7)	Acc@5 23.8 (23.0)	
Epoch: [2][5000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.60 (5.42)	Acc@1 9.8 (10.7)	Acc@5 19.9 (23.0)	
Validation Epoch: [2][0/196]	Time 22.4 (22.4)	Data 0.0 (0.0)	preproc. 0.0(0.0)	Tot. Loss 3.88 (3.88)	Acc@1 28.1 (28.1)	Acc@5 62.1 (62.1)	
Validation Epoch 2, * Acc@1 14.99 Acc@5 30.49
Epoch: [3][0/5005]	Time 4.8 (4.8)	Data 3.3 (3.3)	preproc. 1.3(1.3)	Tot. Loss 5.45 (5.45)	Acc@1 10.2 (10.2)	Acc@5 24.6 (24.6)	
Epoch: [3][200/5005]	Time 1.6 (1.7)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.44 (5.39)	Acc@1 12.5 (11.2)	Acc@5 24.2 (23.6)	
Epoch: [3][400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.37 (5.38)	Acc@1 8.6 (11.3)	Acc@5 22.7 (23.9)	
Epoch: [3][600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.62 (5.38)	Acc@1 9.0 (11.3)	Acc@5 19.9 (23.9)	
Epoch: [3][800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.29 (5.38)	Acc@1 15.6 (11.3)	Acc@5 25.0 (23.9)	
Epoch: [3][1000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.17 (5.38)	Acc@1 14.8 (11.2)	Acc@5 30.9 (23.9)	
Epoch: [3][1200/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.49 (5.38)	Acc@1 12.1 (11.2)	Acc@5 22.7 (23.8)	
Epoch: [3][1400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.56 (5.38)	Acc@1 8.2 (11.2)	Acc@5 19.5 (23.9)	
Epoch: [3][1600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.28 (5.38)	Acc@1 11.3 (11.2)	Acc@5 27.7 (23.8)	
Epoch: [3][1800/5005]	Time 1.7 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.68 (5.38)	Acc@1 7.8 (11.2)	Acc@5 18.8 (23.8)	
Epoch: [3][2000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.42 (5.38)	Acc@1 8.6 (11.2)	Acc@5 22.7 (23.9)	
Epoch: [3][2200/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.32 (5.38)	Acc@1 10.2 (11.2)	Acc@5 22.7 (23.8)	
Epoch: [3][2400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.27 (5.38)	Acc@1 12.1 (11.2)	Acc@5 23.4 (23.9)	
Epoch: [3][2600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.51 (5.38)	Acc@1 8.2 (11.2)	Acc@5 19.1 (23.9)	
Epoch: [3][2800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.46 (5.38)	Acc@1 10.9 (11.2)	Acc@5 23.4 (23.9)	
Epoch: [3][3000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.36 (5.38)	Acc@1 14.1 (11.2)	Acc@5 25.8 (23.9)	
Epoch: [3][3200/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.33 (5.38)	Acc@1 12.1 (11.2)	Acc@5 20.3 (23.9)	
Epoch: [3][3400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.24 (5.38)	Acc@1 10.2 (11.2)	Acc@5 23.8 (23.9)	
Epoch: [3][3600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.35 (5.38)	Acc@1 11.3 (11.2)	Acc@5 19.5 (23.9)	
Epoch: [3][3800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.43 (5.38)	Acc@1 9.8 (11.2)	Acc@5 23.8 (23.9)	
Epoch: [3][4000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.45 (5.38)	Acc@1 10.2 (11.3)	Acc@5 23.4 (23.9)	
Epoch: [3][4200/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.27 (5.37)	Acc@1 11.7 (11.3)	Acc@5 26.2 (23.9)	
Epoch: [3][4400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.56 (5.37)	Acc@1 12.9 (11.3)	Acc@5 22.3 (23.9)	
Epoch: [3][4600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.31 (5.37)	Acc@1 12.9 (11.3)	Acc@5 24.2 (23.9)	
Epoch: [3][4800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.72 (5.37)	Acc@1 9.0 (11.3)	Acc@5 21.9 (24.0)	
Epoch: [3][5000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.37 (5.37)	Acc@1 14.1 (11.3)	Acc@5 26.6 (24.0)	
Validation Epoch: [3][0/196]	Time 24.8 (24.8)	Data 0.0 (0.0)	preproc. 0.0(0.0)	Tot. Loss 3.78 (3.78)	Acc@1 29.7 (29.7)	Acc@5 62.9 (62.9)	
Validation Epoch 3, * Acc@1 15.77 Acc@5 31.45
Epoch: [4][0/5005]	Time 5.2 (5.2)	Data 3.7 (3.7)	preproc. 1.3(1.3)	Tot. Loss 5.27 (5.27)	Acc@1 12.5 (12.5)	Acc@5 27.0 (27.0)	
Epoch: [4][200/5005]	Time 1.6 (1.7)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.39 (5.33)	Acc@1 13.7 (11.7)	Acc@5 25.4 (24.4)	
Epoch: [4][400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.27 (5.33)	Acc@1 11.7 (11.7)	Acc@5 25.4 (24.5)	
Epoch: [4][600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.42 (5.33)	Acc@1 10.9 (11.8)	Acc@5 23.0 (24.6)	
Epoch: [4][800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.19 (5.34)	Acc@1 15.6 (11.7)	Acc@5 27.0 (24.5)	
Epoch: [4][1000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.38 (5.34)	Acc@1 11.7 (11.7)	Acc@5 23.8 (24.5)	
Epoch: [4][1200/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.35 (5.34)	Acc@1 11.7 (11.6)	Acc@5 25.8 (24.5)	
Epoch: [4][1400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.55 (5.34)	Acc@1 10.5 (11.7)	Acc@5 21.1 (24.5)	
Epoch: [4][1600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.34 (5.34)	Acc@1 12.1 (11.7)	Acc@5 21.5 (24.5)	
Epoch: [4][1800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.37 (5.34)	Acc@1 8.6 (11.7)	Acc@5 23.4 (24.5)	
Epoch: [4][2000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.14 (5.34)	Acc@1 11.7 (11.7)	Acc@5 25.0 (24.5)	
Epoch: [4][2200/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.40 (5.34)	Acc@1 11.3 (11.7)	Acc@5 26.6 (24.5)	
Epoch: [4][2400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.27 (5.34)	Acc@1 11.7 (11.6)	Acc@5 27.3 (24.5)	
Epoch: [4][2600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.51 (5.34)	Acc@1 9.8 (11.6)	Acc@5 21.5 (24.5)	
Epoch: [4][2800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.52 (5.34)	Acc@1 9.4 (11.6)	Acc@5 21.5 (24.4)	
Epoch: [4][3000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.34 (5.34)	Acc@1 13.3 (11.7)	Acc@5 25.0 (24.4)	
Epoch: [4][3200/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.35 (5.34)	Acc@1 8.6 (11.7)	Acc@5 21.5 (24.5)	
Epoch: [4][3400/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.61 (5.34)	Acc@1 10.5 (11.7)	Acc@5 22.7 (24.5)	
Epoch: [4][3600/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.27 (5.34)	Acc@1 12.1 (11.7)	Acc@5 27.0 (24.5)	
Epoch: [4][3800/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.28 (5.34)	Acc@1 12.9 (11.7)	Acc@5 27.7 (24.5)	
Epoch: [4][4000/5005]	Time 1.6 (1.6)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.33 (5.34)	Acc@1 10.9 (11.7)	Acc@5 22.3 (24.5)	
