=> Scattering transform order 2, J 4
=> creating model 'scatteringlinear' oversampling 0 fft False
=> learning rate 0.01, lr thetas 0.0, 50 epochs, decay frequency 15
Epoch: [1][3000/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.90 (5.04)	Acc@1 19.9 (14.6)	Acc@5 30.5 (29.4)	
Epoch: [1][3200/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.97 (5.04)	Acc@1 13.7 (14.7)	Acc@5 27.7 (29.5)	
Epoch: [1][3400/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.84 (5.04)	Acc@1 19.5 (14.7)	Acc@5 33.6 (29.6)	
Epoch: [1][3600/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.12 (5.03)	Acc@1 10.2 (14.7)	Acc@5 26.6 (29.6)	
Epoch: [1][3800/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.05 (5.03)	Acc@1 15.2 (14.7)	Acc@5 28.5 (29.6)	
Epoch: [1][4000/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.85 (5.03)	Acc@1 16.8 (14.8)	Acc@5 31.2 (29.7)	
Epoch: [1][4200/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.96 (5.03)	Acc@1 17.2 (14.8)	Acc@5 31.2 (29.7)	
Epoch: [1][4400/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.81 (5.02)	Acc@1 20.3 (14.8)	Acc@5 33.6 (29.8)	
Epoch: [1][4600/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.91 (5.02)	Acc@1 16.0 (14.9)	Acc@5 30.5 (29.8)	
Epoch: [1][4800/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.91 (5.02)	Acc@1 16.4 (14.9)	Acc@5 32.8 (29.9)	
Epoch: [1][5000/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 5.05 (5.02)	Acc@1 14.8 (14.9)	Acc@5 28.1 (29.9)	
Validation Epoch: [1][0/196]	Time 26.4 (26.4)	Data 0.0 (0.0)	preproc. 0.0(0.0)	Tot. Loss 3.71 (3.71)	Acc@1 31.6 (31.6)	Acc@5 61.3 (61.3)	
Validation Epoch 1, * Acc@1 16.07 Acc@5 31.92
Epoch: [2][0/5005]	Time 5.3 (5.3)	Data 3.9 (3.9)	preproc. 1.3(1.3)	Tot. Loss 4.76 (4.76)	Acc@1 17.6 (17.6)	Acc@5 35.2 (35.2)	
Epoch: [2][200/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.91 (4.93)	Acc@1 14.5 (16.0)	Acc@5 33.2 (31.3)	
Epoch: [2][400/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.74 (4.92)	Acc@1 17.2 (16.0)	Acc@5 34.8 (31.6)	
Epoch: [2][600/5005]	Time 1.4 (1.4)	Data 0.0 (0.0)	preproc. 1.3(1.3)	Tot. Loss 4.84 (4.92)	Acc@1 15.2 (16.1)	Acc@5 32.8 (31.6)	
